problem with field [14,11] -> [425,335]/(896, 476), color is ((211, 215, 207))
problem with field [16,3] -> [485,95]/(896, 476), color is ((119, 124, 121))
problem with field [17,3] -> [515,95]/(896, 476), color is ((119, 124, 121))
problem with field [18,3] -> [545,95]/(896, 476), color is ((119, 124, 121))
problem with field [19,3] -> [575,95]/(896, 476), color is ((119, 124, 121))
problem with field [20,3] -> [605,95]/(896, 476), color is ((119, 124, 121))
problem with field [21,3] -> [635,95]/(896, 476), color is ((119, 124, 121))
problem with field [22,3] -> [665,95]/(896, 476), color is ((119, 124, 121))
problem with field [23,3] -> [695,95]/(896, 476), color is ((119, 124, 121))
problem with field [24,3] -> [725,95]/(896, 476), color is ((119, 124, 121))
problem with field [25,3] -> [755,95]/(896, 476), color is ((119, 124, 121))
problem with field [26,3] -> [785,95]/(896, 476), color is ((119, 124, 121))
problem with field [27,3] -> [815,95]/(896, 476), color is ((119, 124, 121))
problem with field [28,3] -> [845,95]/(896, 476), color is ((119, 124, 121))
problem with field [29,3] -> [875,95]/(896, 476), color is ((119, 124, 121))
problem with field [0,4] -> [5,125]/(896, 476), color is ((119, 124, 121))
problem with field [1,4] -> [35,125]/(896, 476), color is ((119, 124, 121))
problem with field [2,4] -> [65,125]/(896, 476), color is ((119, 124, 121))
problem with field [3,4] -> [95,125]/(896, 476), color is ((119, 124, 121))
problem with field [4,4] -> [125,125]/(896, 476), color is ((119, 124, 121))
problem with field [5,4] -> [155,125]/(896, 476), color is ((119, 124, 121))
problem with field [6,4] -> [185,125]/(896, 476), color is ((119, 124, 121))
problem with field [7,4] -> [215,125]/(896, 476), color is ((119, 124, 121))
problem with field [8,4] -> [245,125]/(896, 476), color is ((119, 124, 121))
problem with field [9,4] -> [275,125]/(896, 476), color is ((119, 124, 121))
problem with field [10,4] -> [305,125]/(896, 476), color is ((119, 124, 121))
problem with field [11,4] -> [335,125]/(896, 476), color is ((119, 124, 121))
problem with field [12,4] -> [365,125]/(896, 476), color is ((119, 124, 121))
problem with field [13,4] -> [395,125]/(896, 476), color is ((119, 124, 121))
problem with field [14,4] -> [425,125]/(896, 476), color is ((119, 124, 121))
problem with field [15,4] -> [455,125]/(896, 476), color is ((119, 124, 121))
problem with field [16,4] -> [485,125]/(896, 476), color is ((119, 124, 121))
problem with field [17,4] -> [515,125]/(896, 476), color is ((119, 124, 121))
problem with field [18,4] -> [545,125]/(896, 476), color is ((119, 124, 121))
problem with field [19,4] -> [575,125]/(896, 476), color is ((119, 124, 121))
problem with field [20,4] -> [605,125]/(896, 476), color is ((119, 124, 121))
problem with field [21,4] -> [635,125]/(896, 476), color is ((119, 124, 121))
problem with field [22,4] -> [665,125]/(896, 476), color is ((119, 124, 121))
problem with field [23,4] -> [695,125]/(896, 476), color is ((119, 124, 121))
problem with field [24,4] -> [725,125]/(896, 476), color is ((119, 124, 121))
problem with field [25,4] -> [755,125]/(896, 476), color is ((119, 124, 121))
problem with field [26,4] -> [785,125]/(896, 476), color is ((119, 124, 121))
problem with field [27,4] -> [815,125]/(896, 476), color is ((119, 124, 121))
problem with field [28,4] -> [845,125]/(896, 476), color is ((119, 124, 121))
problem with field [29,4] -> [875,125]/(896, 476), color is ((119, 124, 121))
problem with field [0,5] -> [5,155]/(896, 476), color is ((119, 124, 121))
problem with field [1,5] -> [35,155]/(896, 476), color is ((119, 124, 121))
problem with field [2,5] -> [65,155]/(896, 476), color is ((119, 124, 121))
problem with field [3,5] -> [95,155]/(896, 476), color is ((119, 124, 121))
problem with field [4,5] -> [125,155]/(896, 476), color is ((119, 124, 121))
problem with field [5,5] -> [155,155]/(896, 476), color is ((119, 124, 121))
problem with field [6,5] -> [185,155]/(896, 476), color is ((119, 124, 121))
problem with field [7,5] -> [215,155]/(896, 476), color is ((119, 124, 121))
problem with field [8,5] -> [245,155]/(896, 476), color is ((119, 124, 121))
problem with field [9,5] -> [275,155]/(896, 476), color is ((119, 124, 121))
problem with field [10,5] -> [305,155]/(896, 476), color is ((119, 124, 121))
problem with field [11,5] -> [335,155]/(896, 476), color is ((119, 124, 121))
problem with field [12,5] -> [365,155]/(896, 476), color is ((119, 124, 121))
problem with field [13,5] -> [395,155]/(896, 476), color is ((119, 124, 121))
problem with field [14,5] -> [425,155]/(896, 476), color is ((119, 124, 121))
problem with field [15,5] -> [455,155]/(896, 476), color is ((119, 124, 121))
problem with field [16,5] -> [485,155]/(896, 476), color is ((119, 124, 121))
problem with field [17,5] -> [515,155]/(896, 476), color is ((119, 124, 121))
problem with field [18,5] -> [545,155]/(896, 476), color is ((119, 124, 121))
problem with field [19,5] -> [575,155]/(896, 476), color is ((119, 124, 121))
problem with field [20,5] -> [605,155]/(896, 476), color is ((119, 124, 121))
problem with field [21,5] -> [635,155]/(896, 476), color is ((119, 124, 121))
problem with field [22,5] -> [665,155]/(896, 476), color is ((119, 124, 121))
problem with field [23,5] -> [695,155]/(896, 476), color is ((119, 124, 121))
problem with field [24,5] -> [725,155]/(896, 476), color is ((119, 124, 121))
problem with field [25,5] -> [755,155]/(896, 476), color is ((119, 124, 121))
problem with field [26,5] -> [785,155]/(896, 476), color is ((119, 124, 121))
problem with field [27,5] -> [815,155]/(896, 476), color is ((119, 124, 121))
problem with field [28,5] -> [845,155]/(896, 476), color is ((119, 124, 121))
problem with field [29,5] -> [875,155]/(896, 476), color is ((119, 124, 121))
problem with field [0,6] -> [5,185]/(896, 476), color is ((119, 124, 121))
problem with field [1,6] -> [35,185]/(896, 476), color is ((119, 124, 121))
problem with field [2,6] -> [65,185]/(896, 476), color is ((119, 124, 121))
problem with field [3,6] -> [95,185]/(896, 476), color is ((119, 124, 121))
problem with field [4,6] -> [125,185]/(896, 476), color is ((119, 124, 121))
problem with field [5,6] -> [155,185]/(896, 476), color is ((119, 124, 121))
problem with field [6,6] -> [185,185]/(896, 476), color is ((119, 124, 121))
problem with field [7,6] -> [215,185]/(896, 476), color is ((119, 124, 121))
problem with field [8,6] -> [245,185]/(896, 476), color is ((119, 124, 121))
problem with field [9,6] -> [275,185]/(896, 476), color is ((119, 124, 121))
problem with field [10,6] -> [305,185]/(896, 476), color is ((119, 124, 121))
problem with field [11,6] -> [335,185]/(896, 476), color is ((119, 124, 121))
problem with field [12,6] -> [365,185]/(896, 476), color is ((119, 124, 121))
problem with field [13,6] -> [395,185]/(896, 476), color is ((119, 124, 121))
problem with field [14,6] -> [425,185]/(896, 476), color is ((119, 124, 121))
problem with field [15,6] -> [455,185]/(896, 476), color is ((119, 124, 121))
problem with field [16,6] -> [485,185]/(896, 476), color is ((119, 124, 121))
problem with field [17,6] -> [515,185]/(896, 476), color is ((119, 124, 121))
problem with field [18,6] -> [545,185]/(896, 476), color is ((119, 124, 121))
problem with field [19,6] -> [575,185]/(896, 476), color is ((119, 124, 121))
problem with field [20,6] -> [605,185]/(896, 476), color is ((119, 124, 121))
problem with field [21,6] -> [635,185]/(896, 476), color is ((119, 124, 121))
problem with field [22,6] -> [665,185]/(896, 476), color is ((119, 124, 121))
problem with field [23,6] -> [695,185]/(896, 476), color is ((119, 124, 121))
problem with field [24,6] -> [725,185]/(896, 476), color is ((119, 124, 121))
problem with field [25,6] -> [755,185]/(896, 476), color is ((119, 124, 121))
problem with field [26,6] -> [785,185]/(896, 476), color is ((119, 124, 121))
problem with field [27,6] -> [815,185]/(896, 476), color is ((119, 124, 121))
problem with field [28,6] -> [845,185]/(896, 476), color is ((119, 124, 121))
problem with field [29,6] -> [875,185]/(896, 476), color is ((119, 124, 121))
problem with field [0,7] -> [5,215]/(896, 476), color is ((119, 124, 121))
problem with field [1,7] -> [35,215]/(896, 476), color is ((119, 124, 121))
problem with field [2,7] -> [65,215]/(896, 476), color is ((119, 124, 121))
problem with field [3,7] -> [95,215]/(896, 476), color is ((119, 124, 121))
problem with field [4,7] -> [125,215]/(896, 476), color is ((119, 124, 121))
problem with field [5,7] -> [155,215]/(896, 476), color is ((119, 124, 121))
problem with field [6,7] -> [185,215]/(896, 476), color is ((119, 124, 121))
problem with field [7,7] -> [215,215]/(896, 476), color is ((119, 124, 121))
problem with field [8,7] -> [245,215]/(896, 476), color is ((119, 124, 121))
problem with field [9,7] -> [275,215]/(896, 476), color is ((119, 124, 121))
problem with field [10,7] -> [305,215]/(896, 476), color is ((119, 124, 121))
problem with field [11,7] -> [335,215]/(896, 476), color is ((119, 124, 121))
problem with field [12,7] -> [365,215]/(896, 476), color is ((119, 124, 121))
problem with field [13,7] -> [395,215]/(896, 476), color is ((119, 124, 121))
problem with field [14,7] -> [425,215]/(896, 476), color is ((119, 124, 121))
problem with field [15,7] -> [455,215]/(896, 476), color is ((119, 124, 121))
problem with field [16,7] -> [485,215]/(896, 476), color is ((119, 124, 121))
problem with field [17,7] -> [515,215]/(896, 476), color is ((119, 124, 121))
problem with field [18,7] -> [545,215]/(896, 476), color is ((119, 124, 121))
problem with field [19,7] -> [575,215]/(896, 476), color is ((119, 124, 121))
problem with field [20,7] -> [605,215]/(896, 476), color is ((119, 124, 121))
problem with field [21,7] -> [635,215]/(896, 476), color is ((119, 124, 121))
problem with field [22,7] -> [665,215]/(896, 476), color is ((119, 124, 121))
problem with field [23,7] -> [695,215]/(896, 476), color is ((119, 124, 121))
problem with field [24,7] -> [725,215]/(896, 476), color is ((119, 124, 121))
problem with field [25,7] -> [755,215]/(896, 476), color is ((119, 124, 121))
problem with field [26,7] -> [785,215]/(896, 476), color is ((119, 124, 121))
problem with field [27,7] -> [815,215]/(896, 476), color is ((119, 124, 121))
problem with field [28,7] -> [845,215]/(896, 476), color is ((119, 124, 121))
problem with field [29,7] -> [875,215]/(896, 476), color is ((119, 124, 121))
problem with field [0,8] -> [5,245]/(896, 476), color is ((119, 124, 121))
problem with field [1,8] -> [35,245]/(896, 476), color is ((119, 124, 121))
problem with field [2,8] -> [65,245]/(896, 476), color is ((119, 124, 121))
problem with field [3,8] -> [95,245]/(896, 476), color is ((119, 124, 121))
problem with field [4,8] -> [125,245]/(896, 476), color is ((119, 124, 121))
problem with field [5,8] -> [155,245]/(896, 476), color is ((119, 124, 121))
problem with field [6,8] -> [185,245]/(896, 476), color is ((119, 124, 121))
problem with field [7,8] -> [215,245]/(896, 476), color is ((119, 124, 121))
problem with field [8,8] -> [245,245]/(896, 476), color is ((119, 124, 121))
problem with field [9,8] -> [275,245]/(896, 476), color is ((119, 124, 121))
problem with field [10,8] -> [305,245]/(896, 476), color is ((119, 124, 121))
problem with field [11,8] -> [335,245]/(896, 476), color is ((119, 124, 121))
problem with field [12,8] -> [365,245]/(896, 476), color is ((119, 124, 121))
problem with field [13,8] -> [395,245]/(896, 476), color is ((119, 124, 121))
problem with field [14,8] -> [425,245]/(896, 476), color is ((119, 124, 121))
problem with field [15,8] -> [455,245]/(896, 476), color is ((119, 124, 121))
problem with field [16,8] -> [485,245]/(896, 476), color is ((119, 124, 121))
problem with field [17,8] -> [515,245]/(896, 476), color is ((119, 124, 121))
problem with field [18,8] -> [545,245]/(896, 476), color is ((119, 124, 121))
problem with field [19,8] -> [575,245]/(896, 476), color is ((119, 124, 121))
problem with field [20,8] -> [605,245]/(896, 476), color is ((119, 124, 121))
problem with field [21,8] -> [635,245]/(896, 476), color is ((119, 124, 121))
problem with field [22,8] -> [665,245]/(896, 476), color is ((119, 124, 121))
problem with field [23,8] -> [695,245]/(896, 476), color is ((119, 124, 121))
problem with field [24,8] -> [725,245]/(896, 476), color is ((119, 124, 121))
problem with field [25,8] -> [755,245]/(896, 476), color is ((119, 124, 121))
problem with field [26,8] -> [785,245]/(896, 476), color is ((119, 124, 121))
problem with field [27,8] -> [815,245]/(896, 476), color is ((119, 124, 121))
problem with field [28,8] -> [845,245]/(896, 476), color is ((119, 124, 121))
problem with field [29,8] -> [875,245]/(896, 476), color is ((119, 124, 121))
problem with field [0,9] -> [5,275]/(896, 476), color is ((119, 124, 121))
problem with field [1,9] -> [35,275]/(896, 476), color is ((119, 124, 121))
problem with field [2,9] -> [65,275]/(896, 476), color is ((119, 124, 121))
problem with field [3,9] -> [95,275]/(896, 476), color is ((119, 124, 121))
problem with field [4,9] -> [125,275]/(896, 476), color is ((119, 124, 121))
problem with field [5,9] -> [155,275]/(896, 476), color is ((119, 124, 121))
problem with field [6,9] -> [185,275]/(896, 476), color is ((119, 124, 121))
problem with field [7,9] -> [215,275]/(896, 476), color is ((119, 124, 121))
problem with field [8,9] -> [245,275]/(896, 476), color is ((119, 124, 121))
problem with field [9,9] -> [275,275]/(896, 476), color is ((119, 124, 121))
problem with field [10,9] -> [305,275]/(896, 476), color is ((119, 124, 121))
problem with field [11,9] -> [335,275]/(896, 476), color is ((119, 124, 121))
problem with field [12,9] -> [365,275]/(896, 476), color is ((119, 124, 121))
problem with field [13,9] -> [395,275]/(896, 476), color is ((119, 124, 121))
problem with field [14,9] -> [425,275]/(896, 476), color is ((119, 124, 121))
problem with field [15,9] -> [455,275]/(896, 476), color is ((119, 124, 121))
problem with field [16,9] -> [485,275]/(896, 476), color is ((119, 124, 121))
problem with field [17,9] -> [515,275]/(896, 476), color is ((119, 124, 121))
problem with field [18,9] -> [545,275]/(896, 476), color is ((119, 124, 121))
problem with field [19,9] -> [575,275]/(896, 476), color is ((119, 124, 121))
problem with field [20,9] -> [605,275]/(896, 476), color is ((119, 124, 121))
problem with field [21,9] -> [635,275]/(896, 476), color is ((119, 124, 121))
problem with field [22,9] -> [665,275]/(896, 476), color is ((119, 124, 121))
problem with field [23,9] -> [695,275]/(896, 476), color is ((119, 124, 121))
problem with field [24,9] -> [725,275]/(896, 476), color is ((119, 124, 121))
problem with field [25,9] -> [755,275]/(896, 476), color is ((119, 124, 121))
problem with field [26,9] -> [785,275]/(896, 476), color is ((119, 124, 121))
problem with field [27,9] -> [815,275]/(896, 476), color is ((119, 124, 121))
problem with field [28,9] -> [845,275]/(896, 476), color is ((119, 124, 121))
problem with field [29,9] -> [875,275]/(896, 476), color is ((119, 124, 121))
problem with field [0,10] -> [5,305]/(896, 476), color is ((119, 124, 121))
problem with field [1,10] -> [35,305]/(896, 476), color is ((119, 124, 121))
problem with field [2,10] -> [65,305]/(896, 476), color is ((119, 124, 121))
problem with field [3,10] -> [95,305]/(896, 476), color is ((119, 124, 121))
problem with field [4,10] -> [125,305]/(896, 476), color is ((119, 124, 121))
problem with field [5,10] -> [155,305]/(896, 476), color is ((119, 124, 121))
problem with field [6,10] -> [185,305]/(896, 476), color is ((119, 124, 121))
problem with field [7,10] -> [215,305]/(896, 476), color is ((119, 124, 121))
problem with field [8,10] -> [245,305]/(896, 476), color is ((119, 124, 121))
problem with field [9,10] -> [275,305]/(896, 476), color is ((119, 124, 121))
problem with field [10,10] -> [305,305]/(896, 476), color is ((119, 124, 121))
problem with field [11,10] -> [335,305]/(896, 476), color is ((119, 124, 121))
problem with field [12,10] -> [365,305]/(896, 476), color is ((119, 124, 121))
problem with field [13,10] -> [395,305]/(896, 476), color is ((119, 124, 121))
problem with field [14,10] -> [425,305]/(896, 476), color is ((119, 124, 121))
problem with field [15,10] -> [455,305]/(896, 476), color is ((119, 124, 121))
problem with field [16,10] -> [485,305]/(896, 476), color is ((119, 124, 121))
problem with field [17,10] -> [515,305]/(896, 476), color is ((119, 124, 121))
problem with field [18,10] -> [545,305]/(896, 476), color is ((119, 124, 121))
problem with field [19,10] -> [575,305]/(896, 476), color is ((119, 124, 121))
problem with field [20,10] -> [605,305]/(896, 476), color is ((119, 124, 121))
problem with field [21,10] -> [635,305]/(896, 476), color is ((119, 124, 121))
problem with field [22,10] -> [665,305]/(896, 476), color is ((119, 124, 121))
problem with field [23,10] -> [695,305]/(896, 476), color is ((119, 124, 121))
problem with field [24,10] -> [725,305]/(896, 476), color is ((119, 124, 121))
problem with field [25,10] -> [755,305]/(896, 476), color is ((119, 124, 121))
problem with field [26,10] -> [785,305]/(896, 476), color is ((119, 124, 121))
problem with field [27,10] -> [815,305]/(896, 476), color is ((119, 124, 121))
problem with field [28,10] -> [845,305]/(896, 476), color is ((119, 124, 121))
problem with field [29,10] -> [875,305]/(896, 476), color is ((119, 124, 121))
problem with field [0,11] -> [5,335]/(896, 476), color is ((119, 124, 121))
problem with field [1,11] -> [35,335]/(896, 476), color is ((119, 124, 121))
problem with field [2,11] -> [65,335]/(896, 476), color is ((119, 124, 121))
problem with field [3,11] -> [95,335]/(896, 476), color is ((119, 124, 121))
problem with field [4,11] -> [125,335]/(896, 476), color is ((119, 124, 121))
problem with field [5,11] -> [155,335]/(896, 476), color is ((119, 124, 121))
problem with field [6,11] -> [185,335]/(896, 476), color is ((119, 124, 121))
problem with field [7,11] -> [215,335]/(896, 476), color is ((119, 124, 121))
problem with field [8,11] -> [245,335]/(896, 476), color is ((119, 124, 121))
problem with field [9,11] -> [275,335]/(896, 476), color is ((119, 124, 121))
problem with field [10,11] -> [305,335]/(896, 476), color is ((119, 124, 121))
problem with field [11,11] -> [335,335]/(896, 476), color is ((119, 124, 121))
problem with field [12,11] -> [365,335]/(896, 476), color is ((119, 124, 121))
problem with field [13,11] -> [395,335]/(896, 476), color is ((119, 124, 121))
problem with field [14,11] -> [425,335]/(896, 476), color is ((119, 124, 121))
problem with field [15,11] -> [455,335]/(896, 476), color is ((119, 124, 121))
problem with field [16,11] -> [485,335]/(896, 476), color is ((119, 124, 121))
problem with field [17,11] -> [515,335]/(896, 476), color is ((119, 124, 121))
problem with field [18,11] -> [545,335]/(896, 476), color is ((119, 124, 121))
problem with field [19,11] -> [575,335]/(896, 476), color is ((119, 124, 121))
problem with field [20,11] -> [605,335]/(896, 476), color is ((119, 124, 121))
problem with field [21,11] -> [635,335]/(896, 476), color is ((119, 124, 121))
problem with field [22,11] -> [665,335]/(896, 476), color is ((119, 124, 121))
problem with field [23,11] -> [695,335]/(896, 476), color is ((119, 124, 121))
problem with field [24,11] -> [725,335]/(896, 476), color is ((119, 124, 121))
problem with field [25,11] -> [755,335]/(896, 476), color is ((119, 124, 121))
problem with field [26,11] -> [785,335]/(896, 476), color is ((119, 124, 121))
problem with field [27,11] -> [815,335]/(896, 476), color is ((119, 124, 121))
problem with field [28,11] -> [845,335]/(896, 476), color is ((119, 124, 121))
problem with field [29,11] -> [875,335]/(896, 476), color is ((119, 124, 121))
problem with field [0,12] -> [5,365]/(896, 476), color is ((119, 124, 121))
problem with field [1,12] -> [35,365]/(896, 476), color is ((119, 124, 121))
problem with field [2,12] -> [65,365]/(896, 476), color is ((119, 124, 121))
problem with field [3,12] -> [95,365]/(896, 476), color is ((119, 124, 121))
problem with field [4,12] -> [125,365]/(896, 476), color is ((119, 124, 121))
problem with field [5,12] -> [155,365]/(896, 476), color is ((119, 124, 121))
problem with field [6,12] -> [185,365]/(896, 476), color is ((119, 124, 121))
problem with field [7,12] -> [215,365]/(896, 476), color is ((119, 124, 121))
problem with field [8,12] -> [245,365]/(896, 476), color is ((119, 124, 121))
problem with field [9,12] -> [275,365]/(896, 476), color is ((119, 124, 121))
problem with field [10,12] -> [305,365]/(896, 476), color is ((119, 124, 121))
problem with field [11,12] -> [335,365]/(896, 476), color is ((119, 124, 121))
problem with field [12,12] -> [365,365]/(896, 476), color is ((119, 124, 121))
problem with field [13,12] -> [395,365]/(896, 476), color is ((119, 124, 121))
problem with field [14,12] -> [425,365]/(896, 476), color is ((119, 124, 121))
problem with field [15,12] -> [455,365]/(896, 476), color is ((119, 124, 121))
problem with field [16,12] -> [485,365]/(896, 476), color is ((119, 124, 121))
problem with field [17,12] -> [515,365]/(896, 476), color is ((119, 124, 121))
problem with field [18,12] -> [545,365]/(896, 476), color is ((119, 124, 121))
problem with field [19,12] -> [575,365]/(896, 476), color is ((119, 124, 121))
problem with field [20,12] -> [605,365]/(896, 476), color is ((119, 124, 121))
problem with field [21,12] -> [635,365]/(896, 476), color is ((119, 124, 121))
problem with field [22,12] -> [665,365]/(896, 476), color is ((119, 124, 121))
problem with field [23,12] -> [695,365]/(896, 476), color is ((119, 124, 121))
problem with field [24,12] -> [725,365]/(896, 476), color is ((119, 124, 121))
problem with field [25,12] -> [755,365]/(896, 476), color is ((119, 124, 121))
